105,Genesis,1,,Genesis,3,,Matthew,1,,,,
103,Genesis,4,,Genesis,6,,Matthew,2,,,,
92,Genesis,7,,Genesis,9,,Matthew,3,,,,
109,Genesis,10,,Genesis,12,,Matthew,4,,,,
90,Genesis,13,,Genesis,14,,Matthew,5,,,,
98,Genesis,15,,Genesis,17,,Matthew,6,,,,
118,Genesis,18,,Genesis,20,,Matthew,7,,,,
112,Genesis,21,,Genesis,23,,Matthew,8,,,,
105,Genesis,24,,,,,Matthew,9,,,,
111,Genesis,25,,Genesis,26,,Matthew,10,,,,
98,Genesis,27,,Genesis,28,,Matthew,11,,,,
85,Genesis,29,,,,,Matthew,12,,,,
101,Genesis,30,,,,,Matthew,13,,,,
91,Genesis,31,,,,,Matthew,14,,,,
91,Genesis,32,,Genesis,33,,Matthew,15,,,,
88,Genesis,34,,Genesis,35,,Matthew,16,,,,
106,Genesis,36,,Genesis,37,,Matthew,17,,,,
111,Genesis,38,,Genesis,40,,Matthew,18,,,,
125,Genesis,41,,Genesis,42,,Matthew,19,,,,
102,Genesis,43,,Genesis,44,,Matthew,20,,,,
108,Genesis,45,,Genesis,46,,Matthew,21,,,,
99,Genesis,47,,Genesis,48,,Matthew,22,,,,
98,Genesis,49,,Genesis,50,,Matthew,23,,,,
98,Exodus,1,,Exodus,2,,Matthew,24,,,,
99,Exodus,3,,Exodus,4,,Matthew,25,,,,
98,Exodus,5,,,,,Matthew,26,,,,
96,Exodus,6,,,,,Matthew,27,,,,
112,Exodus,7,,Exodus,9,,Matthew,28,,,,
84,Exodus,10,,Exodus,11,,Mark,1,,,,
101,Exodus,12,,Exodus,13,,Mark,2,,,,
93,Exodus,14,,Exodus,15,,Mark,3,,,,
93,Exodus,16,,Exodus,17,,Mark,4,,,,
95,Exodus,18,,Exodus,19,,Mark,5,,,,
118,Exodus,20,,Exodus,21,,Mark,6,,,,
101,Exodus,22,,Exodus,23,,Mark,7,,,,
96,Exodus,24,,Exodus,25,,Mark,8,,,,
108,Exodus,26,,Exodus,27,,Mark,9,,,,
95,Exodus,28,,,,,Mark,10,,,,
117,Exodus,29,,Exodus,30,,Mark,11,,,,
97,Exodus,31,,Exodus,32,,Mark,12,,,,
95,Exodus,33,,Exodus,34,,Mark,13,,,,
107,Exodus,35,,,,,Mark,14,,,,
114,Exodus,36,,Exodus,37,,Mark,15,,,,
94,Exodus,38,,Exodus,39,,Mark,16,,,,
76,Exodus,40,,,,,Luke,1,1,Luke,1,38
92,Leviticus,1,,Leviticus,3,,Luke,1,39,Luke,1,80
106,Leviticus,4,,Leviticus,5,,Luke,2,,,,
106,Leviticus,6,,Leviticus,7,,Luke,3,,,,
104,Leviticus,8,,Leviticus,9,,Luke,4,,,,
114,Leviticus,10,,Leviticus,12,,Luke,5,,,,
108,Leviticus,13,,,,,Luke,6,,,,
107,Leviticus,14,,,,,Luke,7,,,,
89,Leviticus,15,,,,,Luke,8,,,,
96,Leviticus,16,,,,,Luke,9,,,,
88,Leviticus,17,,Leviticus,18,,Luke,10,,,,
91,Leviticus,19,,,,,Luke,11,,,,
86,Leviticus,20,,,,,Luke,12,,,,
92,Leviticus,21,,Leviticus,22,,Luke,13,,,,
102,Leviticus,23,,Leviticus,24,,Luke,14,,,,
87,Leviticus,25,,,,,Luke,15,,,,
111,Leviticus,26,,Leviticus,27,,Luke,16,,,,
125,Numbers,1,,Numbers,2,,Luke,17,,,,
94,Numbers,3,,,,,Luke,18,,,,
97,Numbers,4,,,,,Luke,19,,,,
105,Numbers,5,,Numbers,6,,Luke,20,,,,
127,Numbers,7,,,,,Luke,21,,,,
97,Numbers,8,,,,,Luke,22,,,,
115,Numbers,9,,Numbers,10,,Luke,23,,,,
88,Numbers,11,,,,,Luke,24,,,,
100,Numbers,12,,Numbers,13,,John,1,,,,
111,Numbers,14,,Numbers,15,,John,2,,,,
99,Numbers,16,,Numbers,17,,John,3,,,,
108,Numbers,18,,Numbers,19,,John,4,,,,
111,Numbers,20,,Numbers,21,,John,5,,,,
112,Numbers,22,,,,,John,6,,,,
83,Numbers,23,,,,,John,7,,,,
102,Numbers,24,,Numbers,25,,John,8,,,,
106,Numbers,26,,,,,John,9,,,,
96,Numbers,27,,Numbers,28,,John,10,,,,
113,Numbers,29,,Numbers,30,,John,11,,,,
104,Numbers,31,,,,,John,12,,,,
80,Numbers,32,,,,,John,13,,,,
87,Numbers,33,,,,,John,14,,,,
103,Numbers,34,,Numbers,36,,John,15,,,,
116,Deuteronomy,1,,Deuteronomy,2,,John,16,,,,
104,Deuteronomy,3,,Deuteronomy,4,,John,17,,,,
98,Deuteronomy,5,,Deuteronomy,6,,John,18,,,,
88,Deuteronomy,7,,Deuteronomy,8,,John,19,,,,
114,Deuteronomy,9,,Deuteronomy,11,,John,20,,,,
104,Deuteronomy,12,,Deuteronomy,14,,John,21,,,,
91,Deuteronomy,15,,Deuteronomy,17,,Psalms,1,,Psalms,3,
106,Deuteronomy,18,,Deuteronomy,21,,Psalms,4,,Psalms,5,
104,Deuteronomy,22,,Deuteronomy,24,,Psalms,6,,Psalms,7,
93,Deuteronomy,25,,Deuteronomy,27,,Psalms,8,,Psalms,9,
93,Deuteronomy,28,1,Deuteronomy,28,68,Psalms,10,,Psalms,11,
105,Deuteronomy,29,,Deuteronomy,31,,Psalms,12,,Psalms,15,
