25,Matthew,1,,,,,
23,Matthew,2,,,,,
17,Matthew,3,,,,,
25,Matthew,4,,,,,
48,Matthew,5,,,,,
34,Matthew,6,,,,,
29,Matthew,7,,,,,
34,Matthew,8,,,,,
38,Matthew,9,,,,,
42,Matthew,10,,,,,
30,Matthew,11,,,,,
50,Matthew,12,,,,,
58,Matthew,13,,,,,
36,Matthew,14,,,,,
39,Matthew,15,,,,,
28,Matthew,16,,,,,
27,Matthew,17,,,,,
35,Matthew,18,,,,,
30,Matthew,19,,,,,
34,Matthew,20,,,,,
46,Matthew,21,,,,,
46,Matthew,22,,,,,
39,Matthew,23,,,,,
51,Matthew,24,,,,,
46,Matthew,25,,,,,
75,Matthew,26,,,,,
66,Matthew,27,,,,,
20,Matthew,28,,,,,
45,Mark,1,,,,,
28,Mark,2,,,,,
35,Mark,3,,,,,
41,Mark,4,,,,,
43,Mark,5,,,,,
56,Mark,6,,,,,
37,Mark,7,,,,,
38,Mark,8,,,,,
50,Mark,9,,,,,
52,Mark,10,,,,,
33,Mark,11,,,,,
44,Mark,12,,,,,
37,Mark,13,,,,,
72,Mark,14,,,,,
47,Mark,15,,,,,
20,Mark,16,,,,,
38,Luke,1,1,Luke,1,38,
42,Luke,1,39,Luke,1,80,
52,Luke,2,,,,,
38,Luke,3,,,,,
44,Luke,4,,,,,
39,Luke,5,,,,,
49,Luke,6,,,,,
50,Luke,7,,,,,
56,Luke,8,,,,,
62,Luke,9,,,,,
42,Luke,10,,,,,
54,Luke,11,,,,,
59,Luke,12,,,,,
35,Luke,13,,,,,
35,Luke,14,,,,,
32,Luke,15,,,,,
31,Luke,16,,,,,
37,Luke,17,,,,,
43,Luke,18,,,,,
48,Luke,19,,,,,
47,Luke,20,,,,,
38,Luke,21,,,,,
71,Luke,22,,,,,
56,Luke,23,,,,,
53,Luke,24,,,,,
51,John,1,,,,,
25,John,2,,,,,
36,John,3,,,,,
54,John,4,,,,,
47,John,5,,,,,
71,John,6,,,,,
53,John,7,,,,,
59,John,8,,,,,
41,John,9,,,,,
42,John,10,,,,,
57,John,11,,,,,
50,John,12,,,,,
38,John,13,,,,,
31,John,14,,,,,
27,John,15,,,,,
33,John,16,,,,,
26,John,17,,,,,
40,John,18,,,,,
42,John,19,,,,,
31,John,20,,,,,
25,John,21,,,,,
26,Psalms,1,,Psalms,3,,
20,Psalms,4,,Psalms,5,,
27,Psalms,6,,Psalms,7,,
29,Psalms,8,,Psalms,9,,
25,Psalms,10,,Psalms,11,,
26,Psalms,12,,Psalms,15,,
26,Psalms,16,,Psalms,17,,
50,Psalms,18,,,,,
36,Psalms,19,,Psalms,21,,
37,Psalms,22,,Psalms,23,,
32,Psalms,24,,Psalms,25,,
26,Psalms,26,,Psalms,27,,
32,Psalms,28,,Psalms,30,,
24,Psalms,31,,,,,
33,Psalms,32,,Psalms,33,,
22,Psalms,34,,,,,
40,Psalms,35,,Psalms,36,,
40,Psalms,37,,,,,
22,Psalms,38,,,,,
30,Psalms,39,,Psalms,40,,
29,Psalms,41,,Psalms,43,,
26,Psalms,44,,,,,
28,Psalms,45,,Psalms,46,,
23,Psalms,47,,Psalms,48,,
20,Psalms,49,,,,,
23,Psalms,50,,,,,
34,Psalms,51,,Psalms,53,,
30,Psalms,54,,Psalms,55,,
24,Psalms,56,,Psalms,57,,
28,Psalms,58,,Psalms,59,,
32,Psalms,60,,Psalms,62,,
34,Psalms,63,,Psalms,65,,
27,Psalms,66,,Psalms,67,,
35,Psalms,68,,,,,
36,Psalms,69,,,,,
29,Psalms,70,,Psalms,71,,
20,Psalms,72,,,,,
28,Psalms,73,,,,,
33,Psalms,74,,Psalms,75,,
32,Psalms,76,,Psalms,77,,
39,Psalms,78,1,Psalms,78,39,
33,Psalms,78,40,Psalms,78,72,
32,Psalms,79,,Psalms,80,,
24,Psalms,81,,Psalms,82,,
30,Psalms,83,,Psalms,84,,
30,Psalms,85,,Psalms,86,,
25,Psalms,87,,Psalms,88,,
52,Psalms,89,,,,,
33,Psalms,90,,Psalms,91,,
20,Psalms,92,,Psalms,93,,
34,Psalms,94,,Psalms,95,,
25,Psalms,96,,Psalms,97,,
31,Psalms,98,,Psalms,101,,
28,Psalms,102,,,,,
22,Psalms,103,,,,,
35,Psalms,104,,,,,
45,Psalms,105,,,,,
48,Psalms,106,,,,,
43,Psalms,107,,,,,
13,Psalms,108,,,,,
31,Psalms,109,,,,,
27,Psalms,110,,Psalms,112,,
35,Psalms,113,,Psalms,115,,
21,Psalms,116,,Psalms,117,,
29,Psalms,118,,,,,
24,Psalms,119,1,Psalms,119,24,
24,Psalms,119,25,Psalms,119,48,
24,Psalms,119,49,Psalms,119,72,
24,Psalms,119,73,Psalms,119,96,
24,Psalms,119,97,Psalms,119,120,
24,Psalms,119,121,Psalms,119,144,
32,Psalms,119,145,Psalms,119,176,
24,Psalms,120,,Psalms,122,,
23,Psalms,123,,Psalms,126,,
27,Psalms,127,,Psalms,130,,
24,Psalms,131,,Psalms,133,,
24,Psalms,134,,Psalms,135,,
35,Psalms,136,,Psalms,137,,
32,Psalms,138,,Psalms,139,,
30,Psalms,140,,Psalms,142,,
27,Psalms,143,,Psalms,144,,
21,Psalms,145,,,,,
30,Psalms,146,,Psalms,147,,
29,Psalms,148,,Psalms,150,,
26,Acts,1,,,,,
47,Acts,2,,,,,
26,Acts,3,,,,,
37,Acts,4,,,,,
42,Acts,5,,,,,
15,Acts,6,,,,,
60,Acts,7,,,,,
40,Acts,8,,,,,
43,Acts,9,,,,,
48,Acts,10,,,,,
30,Acts,11,,,,,
25,Acts,12,,,,,
52,Acts,13,,,,,
28,Acts,14,,,,,
41,Acts,15,,,,,
40,Acts,16,,,,,
34,Acts,17,,,,,
28,Acts,18,,,,,
41,Acts,19,,,,,
38,Acts,20,,,,,
40,Acts,21,,,,,
30,Acts,22,,,,,
35,Acts,23,,,,,
27,Acts,24,,,,,
27,Acts,25,,,,,
32,Acts,26,,,,,
44,Acts,27,,,,,
31,Acts,28,,,,,
32,Romans,1,,,,,
29,Romans,2,,,,,
31,Romans,3,,,,,
25,Romans,4,,,,,
21,Romans,5,,,,,
23,Romans,6,,,,,
25,Romans,7,,,,,
39,Romans,8,,,,,
33,Romans,9,,,,,
21,Romans,10,,,,,
36,Romans,11,,,,,
35,Romans,12,,Romans,13,,
23,Romans,14,,,,,
33,Romans,15,,,,,
27,Romans,16,,,,,
31,1 Corinthians,1,,,,,
39,1 Corinthians,2,,1 Corinthians,3,,
21,1 Corinthians,4,,,,,
33,1 Corinthians,5,,1 Corinthians,6,,
40,1 Corinthians,7,,,,,
40,1 Corinthians,8,,1 Corinthians,9,,
33,1 Corinthians,10,,,,,
34,1 Corinthians,11,,,,,
31,1 Corinthians,12,,,,,
13,1 Corinthians,13,,,,,
40,1 Corinthians,14,,,,,
58,1 Corinthians,15,,,,,
24,1 Corinthians,16,,,,,
24,2 Corinthians,1,,,,,
35,2 Corinthians,2,,2 Corinthians,3,,
39,2 Corinthians,4,,2 Corinthians,5,,
34,2 Corinthians,6,,2 Corinthians,7,,
24,2 Corinthians,8,,,,,
33,2 Corinthians,9,,2 Corinthians,10,,
33,2 Corinthians,11,,,,,
35,2 Corinthians,12,,2 Corinthians,13,,
24,Galatians,1,,,,,
21,Galatians,2,,,,,
29,Galatians,3,,,,,
31,Galatians,4,,,,,
26,Galatians,5,,,,,
18,Galatians,6,,,,,
23,Ephesians,1,,,,,
22,Ephesians,2,,,,,
